date,1y,5y
20260120,3.0,3.5
20251222,3.0,3.5
20251120,3.0,3.5
20251020,3.0,3.5
20250922,3.0,3.5
20250820,3.0,3.5
20250721,3.0,3.5
20250620,3.0,3.5
20250520,3.0,3.5
20250421,3.1,3.6
20250320,3.1,3.6
20250220,3.1,3.6
20250120,3.1,3.6
20241220,3.1,3.6
20241021,3.1,3.6
20240920,3.35,3.85
20240820,3.35,3.85
20240722,3.35,3.85
20240620,3.45,3.95
20240520,3.45,3.95
20240422,3.45,3.95
20240320,3.45,3.95
20240220,3.45,3.95
20240122,3.45,4.2
20231220,3.45,4.2
20231120,3.45,4.2
20231020,3.45,4.2
20230920,3.45,4.2
20230821,3.45,4.2
20230720,3.55,4.2
20230620,3.55,4.2
20230522,3.65,4.3
20230420,3.65,4.3
20230320,3.65,4.3
20230220,3.65,4.3
20230120,3.65,4.3
20221220,3.65,4.3
20221121,3.65,4.3
20221020,3.65,4.3
20220920,3.65,4.3
20220822,3.65,4.3
20220720,3.7,4.45
20220620,3.7,4.45
20220520,3.7,4.45
20220420,3.7,4.6
20220321,3.7,4.6
20220221,3.7,4.6
20220120,3.7,4.6
20211220,3.8,4.65
20211122,3.85,4.65
20211020,3.85,4.65
20210922,3.85,4.65
20210820,3.85,4.65
20210720,3.85,4.65
20210621,3.85,4.65
20210520,3.85,4.65
20210420,3.85,4.65
20210322,3.85,4.65
20210220,3.85,4.65
20210120,3.85,4.65
20201221,3.85,4.65
20201120,3.85,4.65
20201020,3.85,4.65
20200921,3.85,4.65
20200820,3.85,4.65
20200720,3.85,4.65
20200622,3.85,4.65
20200520,3.85,4.65
20200420,3.85,4.65
20200320,4.05,4.75
20200220,4.05,4.75
20200120,4.15,4.8
